id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement
1,225000,4,4,5226,5226,3,0,0
2,136650,3,3,11583,21188,1,0,0
3,750000,3,6,10594,30088,2,0,0
4,193500,3,2,6215,13137,1,0,0
5,1950000,4,8,8072,116293,2,0,0
6,80700,3,2,1689,2583,1,0,0
7,149700,4,3,3444,2798,2,0,0
8,283500,4,4,2497,1076,3,0,0
9,269730,5,5,4520,3186,2,0,0
10,450000,4,2,4133,4133,2,0,0
11,63000,3,2,1291,2411,1,0,0
12,128700,3,4,2389,1550,3,0,0
13,405000,3,4,2152,2066668,2,0,0
14,74700,3,2,1399,538,1,0,0
15,294000,4,4,2260,4423,2,0,0
16,188700,4,3,2637,3013,2,0,0
17,41700,2,2,1033,1033,2,0,0
18,172200,3,2,1076,2454,2,0,0
19,79500,3,2,1184,2206,1,0,0
20,110700,4,3,1356,2152,2,0,0
21,135000,4,3,2841,2841,2,0,0
22,267000,4,3,2701,2755,2,0,0
23,267000,4,3,1980,2755,2,0,0
24,237000,3,3,1937,3422,2,0,0
25,136500,3,3,1646,1506,2,0,0
26,178500,1,2,226,1636,2,0,0
27,138000,4,3,2690,3013,2,0,0
28,2070000,6,7,7653,21656,2,0,0
29,285000,3,4,2637,2626,2,0,0
30,450000,3,3,5166,5166,3,0,0
31,137700,3,2,1453,2238,2,0,0
32,225000,3,3,2884,4079,2,0,0
33,240000,3,3,2335,2841,2,0,0
34,140700,4,3,1776,2195,2,0,0
35,525000,3,4,2368,6329,2,0,0
36,267000,4,3,2368,1991,2,0,0
37,158700,3,3,2238,1862,2,0,0
38,158700,4,3,1786,2411,2,0,0
39,717000,3,4,2852,3530,2,0,0
40,126000,3,2,1216,2152,2,0,0
